gene,mean_log1p,variance,morans_i
CD47,0.4218734374753598,1.6154536718677115,0.04492242938183718
STAT1,0.5326447041090637,2.103901353632297,0.04482473849103415
YWHAQ,0.3938509896822799,1.4880693106396579,0.044230575801218065
EIF4G1,0.4208336008621061,1.577655619022762,0.043432414905940374
CTBP1,0.4079807647362781,1.522596414789969,0.04321147563161974
C1QC,0.4401440299595992,2.107098774898887,0.04312565639591797
PLEC,0.5758608835161098,2.1244271005970408,0.042902405053397805
HSPD1,0.5141166564500664,1.9368347774388517,0.04209295332360617
PLPP3,0.3713308138825483,1.6311593714291597,0.041792927084369186
XRCC6,0.4144557436687044,1.575930474246033,0.04144967310713929
AP2M1,0.42527471445281073,1.601848489612276,0.040637408142347
KIF5B,0.39126982753593276,1.5024257165717096,0.04059280287252439
STAU1,0.3593747350416452,1.380160211988088,0.040325949015212754
PTPN1,0.6486827123923627,2.41923948502297,0.039379140265928446
HNRNPF,0.5068098889769159,1.8930475167332812,0.03937197423120969
UBE2D3,0.7507264087320809,2.718909015424133,0.03857883603232055
CDKN1B,0.6078326085459277,2.3957655479488276,0.03803768978363577
SMN1,0.4636563234895672,1.7317195980725615,0.03775841947065449
PPP1R15B,0.4071324011619403,1.5360596707665308,0.036763816232132505
GRK2,0.3718086421744068,1.4422744593847632,0.036716694354310554
SLC2A3,0.4161482918143304,1.8683124151035948,0.03577524545027334
GLUD1,0.35300009395282733,1.3477978704327067,0.0342495182446524
PRRC2A,0.4475822919291829,1.7041645671858825,0.0340239824584559
DUSP5,0.4010858851373169,1.5853617098288275,0.03398781849498399
LENG8,0.6608633017549614,2.422604028441528,0.03375588748550707
RAB7A,0.3725320380396578,1.421874713471601,0.03374695474692254
NCOR2,0.42763133468316344,1.617730802882271,0.033569051871541994
HNRNPM,0.58845101093439,2.200045977961316,0.03308781516364954
SFPQ,0.6490222497318306,2.3721381510139667,0.0329182015296147
MS4A6A,0.35462417604263163,1.6352493367358378,0.03219778962974703
CCDC71L,0.4058551719551932,1.7909490091295934,0.031474786018837825
EWSR1,0.5870963985728395,2.170191528384121,0.03140732621826678
NONO,0.4586285790431701,1.737449622358773,0.031103495941732884
SNHG15,1.0980580541028975,3.8030536480268244,0.03080184399417317
ATXN2L,0.3948037025640921,1.5009170467313862,0.029916435096652132
AIF1,0.32214610519026987,1.4815501280775796,0.02779611617698126
ATP5F1A,0.38329775414644407,1.4791296370629219,0.027787103894353245
CD44,0.7279832398053561,2.748389364923157,0.027216381675873553
USP36,0.37718994532907474,1.4597422123363701,0.026741567782731002
ILF3,0.4279145725149848,1.6196954104773966,0.026656626786411602
CTNNB1,0.4293489267285375,1.6554600780759279,0.026400933235902587
TIMP2,0.3449051333108056,1.3801819388727237,0.026298751068327696
USP7,0.3557457922143649,1.3766035256556648,0.025907089753667966
DDX39B,0.7517682854547757,2.7462531890792796,0.02569313697571578
PAIP2,0.36200734105475196,1.4160544570036675,0.025644086905716162
GNAI2,0.4418351645231343,1.7130385956802687,0.023862702931433315
BRD4,0.36735134124573976,1.4230604975499046,0.023395539029453263
EIF3A,0.35371505855286817,1.3902952317706219,0.02337790831208004
SOST,0.609591568386941,2.3422879064794464,0.02320063157311112
HNRNPA1L2,0.6936580010326381,2.653734396620348,0.022921897289024176
DNAJA1,0.38328699877055084,1.503971616628558,0.022216530923868053
TARDBP,0.40206858761970116,1.536518221214736,0.022202945815981274
IRF1,0.4471368552536916,1.8949204587649453,0.021522903226969807
FBL,0.3978652258361522,1.5851602412478063,0.020674593570935013
MSN,0.356415050852072,1.570969106745008,0.020626842265297516
LDHA,0.6729201441360205,2.6136889520595155,0.01880583610147593
HIF1A,0.4220957981826002,1.8049083699662214,0.018804049886675292
EIF4A1,0.5969906759067376,2.280814928310941,0.018478403737581976
CYLD,0.38344333536474917,1.5924115456079129,0.01801833672574736
HECA,0.3582755893251418,1.5681147592758986,0.016591092627035394
ANXA5,0.33537246372342383,1.393287460783968,0.015027832608395946
IPO7,0.3589631605861663,1.4240485152247957,0.014259764544776496
SF3B1,0.6220125362103166,2.4894489262045965,0.014047911531172338
CDC42,0.36158340571833086,1.4403341101771587,0.013549388808000874
RANBP2,0.48263401710293485,1.9378008625814778,0.012506715588840114
DDX3X,0.5732644748356982,2.223061169235896,0.011793799071971799
HIPK3,0.3563290340217522,1.4290715065520811,0.011379135921585818
NFE2L2,0.3901422274095328,1.5854611614914922,0.011224376206222983
RAP1A,0.41921497448086337,1.7738250829907938,0.010913783260408361
OGT,0.39861907711186717,1.6563247394386973,0.00975898841323303
